"id","province_code","city_code","name"
"108","16","1610","KAB. OGAN ILIR"
"109","16","1611","KAB. EMPAT LAWANG"
"110","16","1612","KAB. PENUKAL ABAB LEMATANG ILIR"
"111","16","1613","KAB. MUSI RAWAS UTARA"
"112","16","1671","KOTA PALEMBANG"
"113","16","1672","KOTA PAGAR ALAM"
"114","16","1673","KOTA LUBUK LINGGAU"
"115","16","1674","KOTA PRABUMULIH"
"116","17","1701","KAB. BENGKULU SELATAN"
"117","17","1702","KAB. REJANG LEBONG"
"118","17","1703","KAB. BENGKULU UTARA"
"119","17","1704","KAB. KAUR"
"120","17","1705","KAB. SELUMA"
"121","17","1706","KAB. MUKO MUKO"
"122","17","1707","KAB. LEBONG"
"123","17","1708","KAB. KEPAHIANG"
"124","17","1709","KAB. BENGKULU TENGAH"
"125","17","1771","KOTA BENGKULU"
"126","18","1801","KAB. LAMPUNG SELATAN"
"127","18","1802","KAB. LAMPUNG TENGAH"
"128","18","1803","KAB. LAMPUNG UTARA"
"129","18","1804","KAB. LAMPUNG BARAT"
"130","18","1805","KAB. TULANG BAWANG"
"131","18","1806","KAB. TANGGAMUS"
"132","18","1807","KAB. LAMPUNG TIMUR"
"133","18","1808","KAB. WAY KANAN"
"134","18","1809","KAB. PESAWARAN"
"135","18","1810","KAB. PRINGSEWU"
"136","18","1811","KAB. MESUJI"
"137","18","1812","KAB. TULANG BAWANG BARAT"
"138","18","1813","KAB. PESISIR BARAT"
"139","18","1871","KOTA BANDAR LAMPUNG"
"140","18","1872","KOTA METRO"
"141","19","1901","KAB. BANGKA"
"142","19","1902","KAB. BELITUNG"
